Estatura;Peso;Lfemur;Genero;IMC
178.4353;79.00608;51.69654;Hombre;Normal
163.3145;74.94337;44.81909;Hombre;Sobrepeso
180.7643;80.51147;47.16514;Hombre;Normal
176.9482;68.23530;47.96481;Hombre;Normal
165.1476;80.33370;51.05430;Hombre;Sobrepeso
179.9395;86.79781;49.63061;Hombre;Sobrepeso
182.2475;75.66902;54.13432;Hombre;Normal
174.5275;66.79892;53.78221;Hombre;Normal
170.1986;63.65293;48.54811;Hombre;Normal
176.5209;67.39059;51.78264;Hombre;Normal
166.5014;79.09416;42.98087;Hombre;Sobrepeso
164.8383;57.30344;44.65952;Hombre;Normal
177.7012;75.51962;50.61606;Hombre;Normal
163.3634;78.25490;41.77661;Hombre;Sobrepeso
178.8369;79.42592;49.78067;Hombre;Normal
187.9530;73.12581;52.30511;Hombre;Normal
174.6653;67.96557;45.37855;Hombre;Normal
173.4171;74.03654;49.39583;Hombre;Normal
166.6007;71.45293;44.80766;Hombre;Sobrepeso
168.4367;80.91016;46.40019;Hombre;Sobrepeso
182.9354;79.22016;55.71789;Hombre;Normal
174.1062;73.73647;50.09539;Hombre;Normal
167.9121;82.09712;45.90109;Hombre;Sobrepeso
158.0939;72.56694;43.90047;Hombre;Sobrepeso
170.8735;85.20572;47.55732;Hombre;Sobrepeso
179.5274;74.19736;50.95378;Hombre;Normal
175.8660;74.45645;48.93953;Hombre;Normal
166.2722;75.90040;49.18614;Hombre;Sobrepeso
169.1934;69.68726;51.67047;Hombre;Normal
159.4086;76.11020;45.09642;Hombre;Sobrepeso
173.6062;77.02097;49.18367;Hombre;Sobrepeso
170.8998;74.31462;49.59281;Hombre;Sobrepeso
175.5197;71.04595;47.18206;Hombre;Normal
176.1559;80.23328;47.63985;Hombre;Sobrepeso
178.0660;84.60656;44.94432;Hombre;Sobrepeso
192.3144;82.39527;52.67077;Hombre;Normal
180.7416;81.60381;48.48919;Hombre;Normal
175.4773;86.67933;53.07725;Hombre;Sobrepeso
169.1981;75.20058;47.31699;Hombre;Sobrepeso
182.1499;79.48236;54.68997;Hombre;Normal
164.0828;64.75750;42.69262;Hombre;Normal
173.4689;80.80594;51.61682;Hombre;Sobrepeso
172.0135;74.99936;47.53023;Hombre;Sobrepeso
167.8358;80.11076;45.90777;Hombre;Sobrepeso
176.1165;76.50764;52.55799;Hombre;Normal
172.4992;82.50138;52.36094;Hombre;Sobrepeso
175.1352;66.55956;48.82373;Hombre;Normal
168.4970;70.26171;46.71759;Hombre;Normal
160.4544;82.22242;45.68613;Hombre;Sobrepeso
172.5317;60.34117;45.59679;Hombre;Normal
171.2994;73.09562;49.38699;Hombre;Normal
178.3762;76.26106;53.17387;Hombre;Normal
165.7936;74.43922;42.82874;Hombre;Sobrepeso
182.1076;74.98145;53.61312;Hombre;Normal
184.4489;71.77334;53.86312;Hombre;Normal
174.4576;70.87720;49.72589;Hombre;Normal
170.7626;71.73425;51.33838;Hombre;Normal
186.7371;79.80752;51.43075;Hombre;Normal
179.8627;77.89840;53.83961;Hombre;Normal
176.9942;74.59871;50.09879;Hombre;Normal
165.0620;75.85194;43.34059;Hombre;Sobrepeso
169.8040;71.14943;44.13645;Hombre;Normal
189.5820;76.73195;52.86580;Hombre;Normal
183.9916;77.03577;52.86532;Hombre;Normal
158.3591;63.12911;40.94449;Hombre;Sobrepeso
183.1002;73.79950;51.93053;Hombre;Normal
149.9702;67.62203;40.62090;Hombre;Sobrepeso
180.7892;78.68300;55.74797;Hombre;Normal
170.3863;73.30281;47.57561;Hombre;Sobrepeso
196.2902;87.53876;54.51131;Hombre;Normal
175.4978;69.86161;46.38579;Hombre;Normal
165.4624;79.67579;43.17242;Hombre;Sobrepeso
184.6901;74.20111;58.17909;Hombre;Normal
174.9884;85.65213;49.45932;Hombre;Sobrepeso
163.0179;70.19130;44.04599;Hombre;Sobrepeso
177.4692;73.56457;51.27314;Hombre;Normal
172.8103;75.02720;50.77895;Hombre;Sobrepeso
181.4447;82.05924;51.46567;Hombre;Normal
154.3163;65.42754;39.60677;Hombre;Sobrepeso
174.1335;88.20460;47.66630;Hombre;Sobrepeso
174.1355;83.14750;54.13609;Hombre;Sobrepeso
175.4631;71.38334;48.37163;Hombre;Normal
175.8072;69.65328;50.33546;Hombre;Normal
192.3346;84.50109;50.63096;Hombre;Normal
161.5459;79.89026;42.40913;Hombre;Sobrepeso
181.8539;76.60148;53.29421;Hombre;Normal
171.7373;72.11205;50.22833;Hombre;Normal
168.2379;72.59304;43.13634;Hombre;Sobrepeso
191.7825;79.47654;58.53827;Hombre;Normal
179.1388;81.14108;49.19159;Hombre;Sobrepeso
191.6383;78.77281;52.58214;Hombre;Normal
167.6111;69.25674;46.49397;Hombre;Normal
167.2553;80.47092;47.47117;Hombre;Sobrepeso
167.8822;77.24885;46.60200;Hombre;Sobrepeso
179.0675;80.09581;50.83067;Hombre;Normal
181.2535;70.39856;53.18815;Hombre;Normal
177.0122;72.40633;49.11867;Hombre;Normal
181.9049;70.94863;55.77251;Hombre;Normal
156.7815;69.39846;44.01548;Hombre;Sobrepeso
163.8548;69.97118;44.22377;Hombre;Sobrepeso
176.6520;74.76329;48.12219;Hombre;Normal
172.3600;68.42096;47.43765;Hombre;Normal
169.3382;80.48484;49.38155;Hombre;Sobrepeso
166.0615;76.48124;46.83368;Hombre;Sobrepeso
175.3353;64.44988;52.19287;Hombre;Normal
180.9643;81.79196;47.38255;Hombre;Normal
191.3855;76.71409;57.20126;Hombre;Normal
174.9499;79.66436;53.46339;Hombre;Sobrepeso
178.1032;78.10010;47.98556;Hombre;Normal
167.1660;85.17710;43.87920;Hombre;Sobrepeso
176.8250;75.52724;47.96644;Hombre;Normal
176.6921;72.24598;49.96375;Hombre;Normal
167.6322;78.51271;47.86457;Hombre;Sobrepeso
160.9146;72.77619;44.57761;Hombre;Sobrepeso
167.2073;73.08211;48.53540;Hombre;Sobrepeso
162.6068;63.53652;48.76700;Hombre;Normal
168.5063;64.05958;48.66906;Hombre;Normal
185.5716;79.57882;51.39899;Hombre;Normal
173.6644;67.65701;45.28975;Hombre;Normal
162.1902;76.32933;45.19518;Hombre;Sobrepeso
168.5888;69.49937;47.41570;Hombre;Normal
181.8977;78.13151;51.32961;Hombre;Normal
163.0684;88.93952;44.43447;Hombre;Sobrepeso
189.2990;79.04994;54.26750;Hombre;Normal
166.2680;72.43856;46.60667;Hombre;Sobrepeso
183.0788;64.87572;53.13766;Hombre;Normal
158.6524;65.82617;46.96650;Hombre;Sobrepeso
169.7639;76.32505;47.51486;Hombre;Sobrepeso
182.1875;81.11753;48.12638;Hombre;Normal
168.5116;70.24210;50.46029;Hombre;Normal
186.9305;76.32545;55.78057;Hombre;Normal
174.7053;84.43001;54.92921;Hombre;Sobrepeso
183.9009;86.64672;52.08549;Hombre;Sobrepeso
175.1693;79.66768;50.95848;Hombre;Sobrepeso
174.9941;67.06800;50.85631;Hombre;Normal
170.3710;84.46349;47.42840;Hombre;Sobrepeso
175.3932;61.76590;54.44055;Hombre;Normal
172.3769;69.11501;49.13781;Hombre;Normal
167.6593;85.57233;44.34049;Hombre;Sobrepeso
179.6993;71.58171;50.10033;Hombre;Normal
157.9882;70.24661;46.80730;Hombre;Sobrepeso
163.0017;73.43917;44.97335;Hombre;Sobrepeso
185.0826;70.68700;52.60270;Hombre;Normal
172.3426;73.76315;49.56684;Hombre;Normal
173.0948;68.36110;48.67107;Hombre;Normal
186.7721;72.51066;50.42729;Hombre;Normal
173.7749;85.21217;50.90609;Hombre;Sobrepeso
165.7973;70.59751;46.43429;Hombre;Sobrepeso
170.3978;78.58625;52.07257;Hombre;Sobrepeso
164.6017;65.45884;44.09651;Hombre;Normal
165.7648;64.05421;44.42752;Hombre;Normal
183.1741;76.69183;52.16378;Hombre;Normal
179.5560;74.33741;53.58012;Hombre;Normal
164.4682;74.80834;47.65901;Hombre;Sobrepeso
180.5623;69.40706;54.80272;Hombre;Normal
173.9425;78.45495;45.60004;Hombre;Sobrepeso
179.0195;67.83265;53.48804;Hombre;Normal
180.2802;74.00726;50.38218;Hombre;Normal
182.6317;77.96859;53.90567;Hombre;Normal
182.5810;81.21740;54.01581;Hombre;Normal
164.9416;56.98792;43.64649;Hombre;Normal
175.4045;74.54647;50.51009;Hombre;Normal
163.4358;68.84517;42.80178;Hombre;Sobrepeso
183.0013;87.53686;51.86464;Hombre;Sobrepeso
179.7250;75.33926;53.50279;Hombre;Normal
177.1055;70.51861;51.84707;Hombre;Normal
160.8569;63.16556;48.71921;Hombre;Normal
174.2609;68.70272;52.06645;Hombre;Normal
171.8222;68.41668;50.74723;Hombre;Normal
178.8189;70.13095;51.82897;Hombre;Normal
183.4588;74.86206;53.49979;Hombre;Normal
175.6899;58.55155;49.17700;Hombre;Normal
169.6958;76.89336;45.11979;Hombre;Sobrepeso
174.8614;83.95687;51.67343;Hombre;Sobrepeso
172.5388;85.92778;49.24528;Hombre;Sobrepeso
180.9305;65.58682;53.62175;Hombre;Normal
171.9781;65.87474;43.50717;Hombre;Normal
176.2176;70.04362;47.34851;Hombre;Normal
161.3314;71.43284;47.91716;Hombre;Sobrepeso
164.3861;73.75547;47.61057;Hombre;Sobrepeso
183.6041;76.61745;53.33689;Hombre;Normal
187.1076;71.75046;51.20215;Hombre;Normal
170.0271;75.45046;49.33143;Hombre;Sobrepeso
176.1856;75.79822;48.37554;Hombre;Normal
183.3264;72.01740;48.68599;Hombre;Normal
184.2636;85.42565;56.23763;Hombre;Sobrepeso
178.6403;59.30790;53.02107;Hombre;Normal
163.1975;62.52161;51.85835;Hombre;Normal
164.8308;70.53221;45.35716;Hombre;Sobrepeso
186.5550;76.32970;55.02160;Hombre;Normal
168.0417;70.11267;45.73265;Hombre;Normal
177.1503;77.10239;55.50766;Hombre;Normal
184.0353;80.02934;51.55016;Hombre;Normal
169.1809;68.43201;48.21240;Hombre;Normal
186.8677;84.32851;55.02020;Hombre;Normal
159.7119;83.92874;42.61308;Hombre;Sobrepeso
180.0157;71.48840;48.14514;Hombre;Normal
155.7652;72.76986;45.24412;Hombre;Sobrepeso
172.5193;72.48778;44.05053;Hombre;Normal
161.8365;68.86533;46.13927;Hombre;Sobrepeso
168.4416;71.45545;44.25691;Hombre;Sobrepeso
177.4018;80.89708;51.53118;Hombre;Sobrepeso
164.5815;74.78560;45.98865;Hombre;Sobrepeso
176.7835;77.58100;51.07756;Hombre;Normal
170.7304;69.72057;53.06916;Hombre;Normal
170.7340;84.11061;48.04981;Hombre;Sobrepeso
163.8781;70.98651;43.65301;Hombre;Sobrepeso
179.3720;74.56440;55.16615;Hombre;Normal
177.7443;74.18202;53.63583;Hombre;Normal
181.5236;73.04823;53.77491;Hombre;Normal
177.1275;62.23792;50.94832;Hombre;Normal
172.5184;70.91147;50.87875;Hombre;Normal
183.0114;84.68496;50.82415;Hombre;Sobrepeso
158.0999;77.20761;43.25709;Hombre;Sobrepeso
154.5727;75.35386;44.45545;Hombre;Sobrepeso
179.5433;83.99387;51.09293;Hombre;Sobrepeso
163.6753;81.02407;50.92236;Hombre;Sobrepeso
181.7447;68.44173;56.18328;Hombre;Normal
166.6433;70.07341;41.68442;Hombre;Sobrepeso
178.6556;71.85286;54.81669;Hombre;Normal
165.0910;75.23529;41.42482;Hombre;Sobrepeso
176.6479;77.49320;50.23285;Hombre;Normal
174.8099;78.97143;44.37822;Hombre;Sobrepeso
186.7314;77.45303;53.58986;Hombre;Normal
169.5193;75.84957;46.23770;Hombre;Sobrepeso
174.1013;68.93374;47.18192;Hombre;Normal
163.2238;75.38283;40.15144;Hombre;Sobrepeso
173.6481;79.72667;47.94747;Hombre;Sobrepeso
191.5566;78.36735;51.96583;Hombre;Normal
176.7870;80.03321;52.77994;Hombre;Sobrepeso
174.0929;76.11467;48.25712;Hombre;Sobrepeso
167.2611;76.85557;45.80712;Hombre;Sobrepeso
166.8844;69.74250;44.01527;Hombre;Sobrepeso
159.6915;70.02243;47.80515;Hombre;Sobrepeso
178.6955;69.11532;53.40159;Hombre;Normal
175.3949;79.37227;50.38328;Hombre;Sobrepeso
163.7784;64.52565;46.63338;Hombre;Normal
171.4910;64.30915;49.16124;Hombre;Normal
166.7141;71.53480;46.27457;Hombre;Sobrepeso
172.7552;76.65110;49.60090;Hombre;Sobrepeso
192.4469;76.85601;52.56382;Hombre;Normal
170.1638;67.17227;50.68904;Hombre;Normal
183.6546;79.67930;50.40789;Hombre;Normal
177.0996;62.34103;50.24429;Hombre;Normal
175.1051;74.25014;52.99505;Hombre;Normal
184.2393;65.44354;56.22534;Hombre;Normal
177.2466;73.28750;50.52882;Hombre;Normal
170.7178;68.60140;54.26349;Hombre;Normal
174.9767;65.84051;45.70173;Hombre;Normal
184.0521;80.56800;53.85767;Hombre;Normal
166.5423;78.99153;45.48769;Hombre;Sobrepeso
171.3578;61.78494;48.52591;Hombre;Normal
167.6656;77.84500;45.90810;Hombre;Sobrepeso
166.6754;77.23252;45.38522;Hombre;Sobrepeso
171.1324;72.38163;47.89489;Hombre;Normal
169.2499;81.98280;46.53829;Hombre;Sobrepeso
171.1075;79.96556;49.38733;Hombre;Sobrepeso
160.0536;81.57018;45.94143;Hombre;Sobrepeso
163.7923;71.28957;43.71735;Hombre;Sobrepeso
176.9888;80.64885;48.00548;Hombre;Sobrepeso
171.0393;82.17121;50.25687;Hombre;Sobrepeso
170.7889;81.57178;54.38023;Hombre;Sobrepeso
185.0336;84.32176;51.47262;Hombre;Normal
159.6107;82.67052;44.00010;Hombre;Sobrepeso
157.9838;69.14689;43.58362;Hombre;Sobrepeso
175.8836;81.51073;49.17005;Hombre;Sobrepeso
173.1286;69.17859;49.45886;Hombre;Normal
175.4713;81.04398;54.94609;Hombre;Sobrepeso
187.0443;83.86389;52.48111;Hombre;Normal
182.6656;65.60508;53.24835;Hombre;Normal
176.8373;77.68424;47.59311;Hombre;Normal
190.1807;73.78731;52.87745;Hombre;Normal
175.9037;79.32791;48.03296;Hombre;Sobrepeso
183.3123;80.69249;49.84301;Hombre;Normal
169.9177;66.49677;50.04354;Hombre;Normal
175.4774;78.14420;48.29236;Hombre;Sobrepeso
169.5731;78.35286;45.81632;Hombre;Sobrepeso
164.1667;77.14530;46.36713;Hombre;Sobrepeso
170.0573;79.98445;50.38504;Hombre;Sobrepeso
178.2489;80.59331;51.79654;Hombre;Sobrepeso
174.6026;71.06299;49.96654;Hombre;Normal
170.4879;76.35255;47.58578;Hombre;Sobrepeso
175.4280;74.83051;49.24979;Hombre;Normal
169.8295;75.04828;49.14876;Hombre;Sobrepeso
183.4420;73.53706;55.15424;Hombre;Normal
176.5415;76.83094;52.04488;Hombre;Normal
172.0060;75.80170;49.41085;Hombre;Sobrepeso
169.4501;79.77911;46.16830;Hombre;Sobrepeso
189.1535;87.26939;52.78615;Hombre;Normal
173.4837;67.77466;47.58338;Hombre;Normal
164.4152;65.09388;48.44351;Hombre;Normal
181.5790;85.97078;51.33935;Hombre;Sobrepeso
183.4557;84.91298;53.25742;Hombre;Sobrepeso
170.3103;80.63312;45.82249;Hombre;Sobrepeso
181.9363;76.48853;53.62928;Hombre;Normal
159.5936;71.62667;42.94784;Hombre;Sobrepeso
174.5489;68.17081;52.51826;Hombre;Normal
180.5697;63.18338;48.92224;Hombre;Normal
179.9018;80.10646;50.25165;Hombre;Normal
174.3759;62.51656;51.08062;Hombre;Normal
175.2265;82.09690;45.86480;Hombre;Sobrepeso
166.8253;91.25359;46.47880;Hombre;Sobrepeso
167.6679;82.35892;46.59940;Hombre;Sobrepeso
159.8323;66.03616;38.22683;Hombre;Sobrepeso
196.8310;86.27702;57.90115;Hombre;Normal
183.0791;71.16741;50.27766;Hombre;Normal
170.5671;64.95478;45.55853;Hombre;Normal
175.2235;86.59492;51.55231;Hombre;Sobrepeso
165.0345;70.35758;41.45908;Hombre;Sobrepeso
184.7181;76.81585;53.89711;Hombre;Normal
169.2747;71.18619;44.17080;Hombre;Normal
181.7107;77.21188;54.34723;Hombre;Normal
176.2961;77.90764;47.42711;Hombre;Sobrepeso
166.4099;58.28684;45.52135;Hombre;Normal
170.9335;74.21412;44.53802;Hombre;Sobrepeso
172.4711;77.24236;46.20204;Hombre;Sobrepeso
185.6020;84.33900;53.93900;Hombre;Normal
187.5731;81.87892;50.60817;Hombre;Normal
176.5667;80.15771;51.53277;Hombre;Sobrepeso
169.9344;81.57572;49.08171;Hombre;Sobrepeso
185.3619;87.18021;49.37111;Hombre;Sobrepeso
177.2469;89.28626;51.76233;Hombre;Sobrepeso
181.0067;85.00047;49.42820;Hombre;Sobrepeso
191.8030;79.30298;54.97914;Hombre;Normal
173.3767;84.12459;50.47719;Hombre;Sobrepeso
177.2438;82.24852;48.59015;Hombre;Sobrepeso
173.1381;74.26761;47.54403;Hombre;Normal
165.2741;75.06200;49.69630;Hombre;Sobrepeso
176.7267;70.93854;50.05844;Hombre;Normal
176.8121;69.54771;54.61397;Hombre;Normal
162.0300;74.46226;45.58593;Hombre;Sobrepeso
163.2761;80.29793;47.04242;Hombre;Sobrepeso
177.3350;73.48484;53.23801;Hombre;Normal
182.5170;82.20191;52.73141;Hombre;Normal
169.2022;78.53641;48.54934;Hombre;Sobrepeso
170.1528;63.89394;58.51862;Hombre;Normal
178.5400;69.14423;51.69346;Hombre;Normal
160.3649;64.36713;45.94272;Hombre;Sobrepeso
169.8184;68.72853;52.04813;Hombre;Normal
171.1209;69.12047;48.46857;Hombre;Normal
190.2474;79.48838;55.58831;Hombre;Normal
170.6299;83.66738;50.38773;Hombre;Sobrepeso
170.2292;77.95210;43.31963;Hombre;Sobrepeso
176.7400;70.25049;54.57185;Hombre;Normal
178.2046;80.99378;50.63576;Hombre;Sobrepeso
165.9845;80.55366;47.70216;Hombre;Sobrepeso
163.9697;60.13352;43.51631;Hombre;Normal
176.3879;79.31036;51.84658;Hombre;Sobrepeso
165.8551;79.65202;39.95250;Hombre;Sobrepeso
160.0635;66.91051;44.36264;Hombre;Sobrepeso
186.7710;75.74882;56.14627;Hombre;Normal
159.2369;78.27110;47.13512;Hombre;Sobrepeso
179.9141;80.98348;51.03288;Hombre;Sobrepeso
159.5423;69.38442;42.04920;Hombre;Sobrepeso
170.7713;76.48761;48.75230;Hombre;Sobrepeso
174.5569;68.01058;54.85698;Hombre;Normal
179.0574;72.05836;48.42724;Hombre;Normal
183.7449;74.21361;52.17536;Hombre;Normal
181.7834;85.27351;55.29552;Hombre;Sobrepeso
170.8899;74.04930;53.73417;Hombre;Sobrepeso
176.0227;77.37676;51.70880;Hombre;Normal
188.5435;72.47797;54.85304;Hombre;Normal
163.1461;70.75121;44.73726;Hombre;Sobrepeso
162.6317;73.35072;46.73305;Hombre;Sobrepeso
162.8402;77.53690;46.76721;Hombre;Sobrepeso
194.5725;69.90828;55.82892;Hombre;Bajo
165.5078;66.84805;41.41030;Hombre;Normal
165.0240;73.95166;48.47435;Hombre;Sobrepeso
192.2105;81.52427;54.74254;Hombre;Normal
187.0812;65.22329;55.79044;Hombre;Normal
184.4621;66.55992;54.53231;Hombre;Normal
171.1397;67.61475;52.19237;Hombre;Normal
186.7214;61.74927;52.02245;Hombre;Bajo
153.8216;71.11460;41.05393;Hombre;Sobrepeso
171.7339;77.11375;50.55907;Hombre;Sobrepeso
172.2431;68.95003;46.63836;Hombre;Normal
179.2661;82.45973;48.17871;Hombre;Sobrepeso
172.7240;77.01812;44.56302;Hombre;Sobrepeso
174.0657;76.01229;49.16683;Hombre;Sobrepeso
160.2134;75.80949;45.08079;Hombre;Sobrepeso
180.2604;79.74390;52.55043;Hombre;Normal
176.1178;74.34239;47.09016;Hombre;Normal
169.2976;72.19887;49.77830;Hombre;Sobrepeso
167.8978;81.25416;45.88566;Hombre;Sobrepeso
172.3213;80.40496;44.89619;Hombre;Sobrepeso
167.2384;59.00235;45.08325;Hombre;Normal
170.1927;73.65280;46.19574;Hombre;Sobrepeso
180.0186;69.20802;56.24872;Hombre;Normal
177.7354;80.95722;50.09363;Hombre;Sobrepeso
167.0401;80.36020;50.41688;Hombre;Sobrepeso
175.4127;75.07370;50.49819;Hombre;Normal
177.8138;74.89213;50.63060;Hombre;Normal
169.8718;83.69053;49.92988;Hombre;Sobrepeso
179.4972;74.96568;51.78351;Hombre;Normal
169.6875;72.75505;50.54001;Hombre;Sobrepeso
156.1899;64.11922;40.51982;Hombre;Sobrepeso
170.4603;89.21538;46.69125;Hombre;Sobrepeso
169.4251;75.56099;45.59188;Hombre;Sobrepeso
178.4226;78.74242;52.77961;Hombre;Normal
187.6148;64.43790;55.15766;Hombre;Bajo
188.2206;74.51341;53.48361;Hombre;Normal
179.8525;69.11791;48.44285;Hombre;Normal
182.5031;75.51694;58.55988;Hombre;Normal
174.9617;81.85920;47.65539;Hombre;Sobrepeso
181.7005;71.77726;52.80845;Hombre;Normal
175.2769;72.81360;49.73005;Hombre;Normal
181.3617;76.06513;50.27958;Hombre;Normal
168.1223;69.27919;47.40757;Hombre;Normal
185.0766;80.44417;54.23763;Hombre;Normal
180.8660;81.30561;48.97554;Hombre;Normal
172.3924;73.48245;52.33918;Hombre;Normal
164.7390;65.22816;47.61117;Hombre;Normal
180.9416;81.45045;50.02933;Hombre;Normal
176.2123;78.99791;49.80277;Hombre;Sobrepeso
175.4831;59.78360;48.66821;Hombre;Normal
177.2110;78.68720;54.50653;Hombre;Sobrepeso
168.7200;82.46252;46.87321;Hombre;Sobrepeso
174.7602;66.86226;48.19801;Hombre;Normal
178.7641;78.84460;48.75992;Hombre;Normal
163.6059;75.57347;41.63855;Hombre;Sobrepeso
165.4971;83.18507;45.01745;Hombre;Sobrepeso
189.0379;73.46303;52.35323;Hombre;Normal
167.2109;75.34136;49.25806;Hombre;Sobrepeso
171.0787;68.91938;48.87433;Hombre;Normal
176.4344;82.24464;49.14743;Hombre;Sobrepeso
180.4613;71.81266;51.27710;Hombre;Normal
177.7701;69.96488;48.76972;Hombre;Normal
173.8787;80.97409;46.83716;Hombre;Sobrepeso
180.9743;71.38597;52.10251;Hombre;Normal
176.4495;62.15849;51.92252;Hombre;Normal
175.6458;84.62490;52.21281;Hombre;Sobrepeso
183.7689;70.49106;52.44585;Hombre;Normal
164.7779;71.21439;46.99876;Hombre;Sobrepeso
168.9633;84.05650;45.20827;Hombre;Sobrepeso
169.2226;80.71983;42.80035;Hombre;Sobrepeso
176.5221;80.92453;47.34249;Hombre;Sobrepeso
182.2729;75.08405;51.38631;Hombre;Normal
162.4729;68.03624;41.99687;Hombre;Sobrepeso
163.5105;73.71295;43.91850;Hombre;Sobrepeso
170.7857;72.21004;51.27487;Hombre;Normal
176.5421;75.79366;53.43667;Hombre;Normal
162.4116;70.89098;42.73071;Hombre;Sobrepeso
176.7682;68.58904;51.45884;Hombre;Normal
162.9566;78.25266;45.31439;Hombre;Sobrepeso
176.1393;74.91749;47.59967;Hombre;Normal
175.3059;75.13698;52.78865;Hombre;Normal
180.6520;67.82405;49.09648;Hombre;Normal
182.3030;80.01830;52.46586;Hombre;Normal
160.5523;84.71882;41.95308;Hombre;Sobrepeso
172.8181;67.31767;47.52378;Hombre;Normal
178.3757;68.91669;50.86319;Hombre;Normal
174.0160;78.57292;47.78079;Hombre;Sobrepeso
165.0399;68.43095;46.24742;Hombre;Sobrepeso
179.3937;84.38873;55.52835;Hombre;Sobrepeso
165.4957;61.52719;45.82136;Hombre;Normal
177.9681;65.94853;50.19532;Hombre;Normal
181.2913;77.97188;49.25473;Hombre;Normal
173.0850;80.95636;48.63323;Hombre;Sobrepeso
179.5506;65.41793;51.81914;Hombre;Normal
174.8699;73.75774;51.13534;Hombre;Normal
171.9698;77.48459;48.10747;Hombre;Sobrepeso
190.6591;86.42941;56.29966;Hombre;Normal
163.3899;65.81832;41.51956;Hombre;Normal
172.7871;81.17997;49.06027;Hombre;Sobrepeso
193.0870;83.12657;56.78688;Hombre;Normal
166.8700;78.51071;50.31242;Hombre;Sobrepeso
167.2626;70.82423;45.85355;Hombre;Sobrepeso
167.2730;77.60765;47.35156;Hombre;Sobrepeso
158.5446;72.80821;43.56669;Hombre;Sobrepeso
181.5011;80.62291;47.82569;Hombre;Normal
165.8732;82.20531;46.46886;Hombre;Sobrepeso
177.1715;76.90142;52.12945;Hombre;Normal
177.2242;82.21793;49.55754;Hombre;Sobrepeso
163.8210;75.95786;41.70562;Hombre;Sobrepeso
173.3020;82.27964;51.45888;Hombre;Sobrepeso
169.3946;83.44398;44.79754;Hombre;Sobrepeso
165.1413;66.73937;48.38045;Hombre;Normal
